iter	Passed	Remaining
0	325	162421
1	795	197982
2	1134	187930
3	1504	186574
4	1831	181327
5	2161	177930
6	2481	174750
7	2818	173341
8	3149	171844
9	3480	170548
10	3810	169397
11	4146	168636
12	4462	167170
13	4805	166807
14	5112	165306
15	5443	164667
16	5780	164239
17	6083	162898
18	6404	162138
19	6720	161281
20	7056	160954
21	7377	160300
22	7702	159736
23	8023	159139
24	8356	158765
25	8717	158925
26	9064	158796
27	9396	158393
28	9705	157632
29	10054	157521
30	10404	157403
31	10737	157042
32	11095	157023
33	11438	156775
34	11794	156693
35	12130	156351
36	12475	156113
37	12820	155874
38	13174	155731
39	13517	155451
40	13858	155145
41	14287	155800
42	14637	155561
43	14978	155232
44	15318	154889
45	15674	154696
46	16074	154933
47	16475	155140
48	16815	154772
49	17151	154366
50	17500	154069
51	17851	153796
52	18236	153803
53	18606	153673
54	18934	153194
55	19306	153075
56	19685	152990
57	20039	152715
58	20392	152424
59	20748	152155
60	21094	151810
61	21466	151648
62	21861	151642
63	22210	151310
64	22696	151894
65	23200	152557
66	23655	152879
67	24182	153632
68	24652	153986
69	25093	154143
70	25535	154294
71	25937	154185
72	26351	154138
73	26760	154053
74	27241	154367
75	27633	154168
76	28150	154646
77	28676	155144
78	29153	155364
79	29576	155275
80	29976	155062
81	30377	154848
82	30788	154685
83	31205	154543
84	31631	154435
85	32025	154171
86	32389	153759
87	32778	153461
88	33209	153359
89	33662	153351
90	34062	153091
91	34456	152806
92	34814	152358
93	35197	152022
94	35646	151964
95	36059	151749
96	36489	151599
97	37010	151817
98	37431	151615
99	37857	151428
100	38257	151135
101	38685	150950
102	39100	150707
103	39598	150780
104	39987	150428
105	40396	150151
106	40828	149957
107	41232	149659
108	41644	149385
109	42082	149201
110	42490	148906
111	42912	148661
112	43373	148545
113	43796	148292
114	44217	148032
115	44703	147985
116	45145	147783
117	45573	147534
118	45970	147183
119	46378	146864
120	46803	146600
121	47258	146423
122	47661	146084
123	48093	145832
124	48512	145537
125	48909	145176
126	49353	144952
127	49757	144606
128	50134	144185
129	50539	143842
130	50982	143607
131	51368	143209
132	51766	142845
133	52199	142575
134	52621	142273
135	53023	141915
136	53391	141467
137	53820	141182
138	54265	140934
139	54681	140608
140	55089	140263
141	55541	140028
142	55971	139732
143	56348	139306
144	56730	138891
145	57151	138573
146	57562	138228
147	57974	137885
148	58357	137472
149	58803	137207
150	59241	136921
151	59688	136655
152	60103	136313
153	60575	136098
154	61073	135937
155	61483	135579
156	61895	135223
157	62274	134796
158	62669	134404
159	63087	134060
160	63516	133738
161	63962	133453
162	64390	133126
163	64839	132842
164	65242	132461
165	65770	132333
166	66181	131966
167	66558	131531
168	66979	131185
169	67394	130824
170	67808	130462
171	68269	130187
172	68809	130062
173	69266	129774
174	69818	129662
175	70273	129366
176	70712	129039
177	71126	128667
178	71516	128249
179	72044	128078
180	72516	127805
181	72946	127456
182	73364	127084
183	73757	126670
184	74289	126493
185	74721	126142
186	75100	125703
187	75548	125377
188	75944	124966
189	76361	124589
190	76767	124195
191	77206	123852
192	77608	123449
193	78031	123080
194	78574	122898
195	79066	122633
196	79466	122225
197	79903	121872
198	80344	121525
199	80740	121111
200	81157	120727
201	81562	120325
202	82043	120033
203	82432	119607
204	82833	119199
205	83247	118808
206	83701	118475
207	84158	118146
208	84599	117791
209	85017	117404
210	85409	116982
211	85861	116641
212	86257	116224
213	86611	115751
214	87064	115411
215	87716	115330
216	88256	115099
217	88658	114686
218	89086	114307
219	89550	113972
220	89930	113532
221	90273	113044
222	90656	112609
223	91124	112277
224	91553	111899
225	91951	111481
226	92314	111021
227	92659	110541
228	92995	110051
229	93356	109592
230	93760	109184
231	94208	108827
232	94666	108480
233	95057	108056
234	95471	107658
235	95994	107384
236	96420	106998
237	96820	106583
238	97240	106191
239	97687	105827
240	98068	105393
241	98583	105101
242	99075	104783
243	99536	104431
244	99928	104006
245	100348	103611
246	100779	103227
247	101171	102803
248	101581	102397
249	101986	101986
250	102394	101578
251	102866	101233
252	103227	100779
253	103567	100305
254	104050	99969
255	104573	99671
256	105053	99330
257	105489	98947
258	105992	98626
259	106428	98241
260	106859	97852
261	107335	97503
262	107774	97119
263	108205	96729
264	108613	96317
265	109049	95931
266	109456	95517
267	109876	95117
268	110366	94775
269	110844	94422
270	111234	93995
271	111652	93591
272	112061	93179
273	112409	92717
274	112810	92299
275	113242	91907
276	113663	91505
277	114202	91197
278	114676	90836
279	115155	90479
280	115641	90126
281	116095	89747
282	116482	89316
283	116810	88841
284	117131	88362
285	117472	87898
286	117791	87420
287	118114	86945
288	118442	86475
289	118795	86024
290	119221	85626
291	119624	85212
292	120054	84816
293	120511	84439
294	120929	84035
295	121340	83626
296	121758	83222
297	122202	82835
298	122658	82456
299	123099	82066
300	123526	81667
301	124004	81300
302	124417	80891
303	124843	80491
304	125305	80113
305	125775	79740
306	126158	79311
307	126585	78910
308	127000	78501
309	127424	78098
310	127808	77671
311	128224	77263
312	128566	76811
313	128911	76361
314	129271	75921
315	129583	75453
316	129911	74996
317	130240	74540
318	130594	74099
319	130924	73644
320	131267	73198
321	131616	72756
322	131963	72314
323	132334	71885
324	132658	71431
325	132991	70983
326	133351	70549
327	133671	70095
328	134078	69688
329	134404	69238
330	134762	68806
331	135096	68362
332	135429	67918
333	135764	67475
334	136122	67045
335	136453	66602
336	136820	66177
337	137157	65738
338	137487	65296
339	137865	64878
340	138254	64464
341	138644	64051
342	138999	63623
343	139345	63191
344	139709	62768
345	140096	62354
346	140430	61919
347	140773	61487
348	141104	61050
349	141467	60628
350	141860	60220
351	142194	59786
352	142545	59360
353	142966	58963
354	143283	58524
355	143663	58111
356	144043	57698
357	144388	57271
358	144732	56844
359	145070	56416
360	145415	55991
361	145753	55563
362	146119	55147
363	146475	54727
364	146829	54306
365	147144	53872
366	147471	53443
367	147812	53019
368	148129	52588
369	148475	52167
370	148848	51756
371	149162	51324
372	149501	50902
373	149833	50478
374	150181	50060
375	150543	49647
376	150884	49227
377	151281	48826
378	151626	48408
379	151958	47986
380	152267	47558
381	152644	47151
382	153021	46745
383	153371	46331
384	153697	45909
385	154064	45500
386	154387	45079
387	154696	44654
388	155011	44232
389	155328	43810
390	155665	43395
391	156007	42981
392	156316	42559
393	156653	42145
394	157006	41735
395	157341	41321
396	157722	40920
397	158049	40505
398	158377	40090
399	158719	39679
400	159048	39266
401	159432	38866
402	159794	38461
403	160151	38055
404	160492	37646
405	160833	37237
406	161190	36832
407	161522	36421
408	161843	36009
409	162166	35597
410	162512	35191
411	162870	34787
412	163193	34377
413	163525	33969
414	163865	33562
415	164227	33161
416	164599	32761
417	164931	32355
418	165272	31950
419	165613	31545
420	165939	31138
421	166254	30729
422	166591	30325
423	166949	29924
424	167329	29528
425	167701	29131
426	168039	28728
427	168364	28323
428	168707	27921
429	169058	27521
430	169376	27115
431	169699	26711
432	170064	26314
433	170399	25913
434	170730	25511
435	171081	25112
436	171425	24713
437	171790	24317
438	172087	23911
439	172430	23513
440	172762	23113
441	173088	22713
442	173426	22314
443	173762	21916
444	174107	21518
445	174487	21126
446	174835	20729
447	175179	20333
448	175529	19937
449	175859	19539
450	176190	19142
451	176552	18748
452	176879	18351
453	177232	17957
454	177569	17561
455	177960	17171
456	178273	16774
457	178642	16382
458	178971	15986
459	179327	15593
460	179664	15199
461	180009	14806
462	180336	14411
463	180669	14017
464	181070	13628
465	181422	13236
466	181752	12843
467	182089	12450
468	182444	12059
469	182828	11669
470	183169	11277
471	183494	10885
472	183832	10493
473	184157	10101
474	184504	9710
475	184836	9319
476	185214	8930
477	185554	8540
478	185892	8149
479	186244	7760
480	186598	7370
481	186929	6980
482	187257	6590
483	187586	6201
484	187912	5811
485	188221	5422
486	188549	5033
487	188852	4643
488	189158	4255
489	189485	3867
490	189831	3479
491	190141	3091
492	190470	2704
493	190783	2317
494	191179	1931
495	191530	1544
496	191875	1158
497	192217	771
498	192548	385
499	192917	0
